image_name,original_sample,LABEL
biden-to-linus_143,biden-to-linus,FAKE
biden-to-linus_144,biden-to-linus,FAKE
biden-to-linus_145,biden-to-linus,FAKE
biden-to-linus_146,biden-to-linus,FAKE
biden-to-linus_147,biden-to-linus,FAKE
biden-to-linus_148,biden-to-linus,FAKE
biden-to-linus_149,biden-to-linus,FAKE
biden-to-linus_150,biden-to-linus,FAKE
biden-to-linus_151,biden-to-linus,FAKE
biden-to-linus_152,biden-to-linus,FAKE
biden-to-linus_153,biden-to-linus,FAKE
biden-to-linus_154,biden-to-linus,FAKE
biden-to-linus_155,biden-to-linus,FAKE
biden-to-linus_156,biden-to-linus,FAKE
biden-to-linus_157,biden-to-linus,FAKE
biden-to-linus_158,biden-to-linus,FAKE
biden-to-linus_159,biden-to-linus,FAKE
biden-to-linus_160,biden-to-linus,FAKE
biden-to-linus_161,biden-to-linus,FAKE
biden-to-linus_162,biden-to-linus,FAKE
biden-to-linus_163,biden-to-linus,FAKE
biden-to-linus_164,biden-to-linus,FAKE
biden-to-linus_165,biden-to-linus,FAKE
biden-to-linus_166,biden-to-linus,FAKE
biden-to-linus_167,biden-to-linus,FAKE
biden-to-linus_168,biden-to-linus,FAKE
biden-to-linus_169,biden-to-linus,FAKE
biden-to-linus_170,biden-to-linus,FAKE
biden-to-linus_171,biden-to-linus,FAKE
biden-to-linus_172,biden-to-linus,FAKE
biden-to-linus_173,biden-to-linus,FAKE
biden-to-linus_174,biden-to-linus,FAKE
biden-to-linus_175,biden-to-linus,FAKE
biden-to-linus_176,biden-to-linus,FAKE
biden-to-linus_177,biden-to-linus,FAKE
biden-to-linus_178,biden-to-linus,FAKE
biden-to-linus_179,biden-to-linus,FAKE
biden-to-linus_180,biden-to-linus,FAKE
biden-to-linus_181,biden-to-linus,FAKE
biden-to-linus_182,biden-to-linus,FAKE
biden-to-linus_183,biden-to-linus,FAKE
biden-to-linus_184,biden-to-linus,FAKE
biden-to-linus_185,biden-to-linus,FAKE
biden-to-linus_186,biden-to-linus,FAKE
biden-to-linus_187,biden-to-linus,FAKE
biden-to-linus_188,biden-to-linus,FAKE
biden-to-linus_189,biden-to-linus,FAKE
biden-to-linus_190,biden-to-linus,FAKE
biden-to-linus_191,biden-to-linus,FAKE
biden-to-linus_192,biden-to-linus,FAKE
biden-to-linus_193,biden-to-linus,FAKE
biden-to-linus_194,biden-to-linus,FAKE
biden-to-linus_195,biden-to-linus,FAKE
biden-to-linus_196,biden-to-linus,FAKE
biden-to-linus_197,biden-to-linus,FAKE
biden-to-linus_198,biden-to-linus,FAKE
biden-to-linus_199,biden-to-linus,FAKE
biden-to-margot_0,biden-to-margot,FAKE
biden-to-margot_1,biden-to-margot,FAKE
biden-to-margot_2,biden-to-margot,FAKE
biden-to-margot_3,biden-to-margot,FAKE
biden-to-margot_4,biden-to-margot,FAKE
biden-to-margot_5,biden-to-margot,FAKE
biden-to-margot_6,biden-to-margot,FAKE
biden-to-margot_7,biden-to-margot,FAKE
biden-to-margot_8,biden-to-margot,FAKE
biden-to-margot_9,biden-to-margot,FAKE
biden-to-margot_10,biden-to-margot,FAKE
biden-to-margot_11,biden-to-margot,FAKE
biden-to-margot_12,biden-to-margot,FAKE
biden-to-margot_13,biden-to-margot,FAKE
biden-to-margot_14,biden-to-margot,FAKE
biden-to-margot_15,biden-to-margot,FAKE
biden-to-margot_16,biden-to-margot,FAKE
biden-to-margot_17,biden-to-margot,FAKE
biden-to-margot_18,biden-to-margot,FAKE
biden-to-margot_19,biden-to-margot,FAKE
biden-to-margot_20,biden-to-margot,FAKE
biden-to-margot_21,biden-to-margot,FAKE
biden-to-margot_22,biden-to-margot,FAKE
biden-to-margot_23,biden-to-margot,FAKE
biden-to-margot_24,biden-to-margot,FAKE
biden-to-margot_25,biden-to-margot,FAKE
biden-to-margot_26,biden-to-margot,FAKE
biden-to-margot_27,biden-to-margot,FAKE
biden-to-margot_28,biden-to-margot,FAKE
biden-to-margot_29,biden-to-margot,FAKE
biden-to-margot_30,biden-to-margot,FAKE
biden-to-margot_31,biden-to-margot,FAKE
biden-to-margot_32,biden-to-margot,FAKE
biden-to-margot_33,biden-to-margot,FAKE
biden-to-margot_34,biden-to-margot,FAKE
biden-to-margot_35,biden-to-margot,FAKE
biden-to-margot_36,biden-to-margot,FAKE
biden-to-margot_37,biden-to-margot,FAKE
biden-to-margot_38,biden-to-margot,FAKE
biden-to-margot_39,biden-to-margot,FAKE
biden-to-margot_40,biden-to-margot,FAKE
biden-to-margot_41,biden-to-margot,FAKE
biden-to-margot_42,biden-to-margot,FAKE
biden-to-margot_43,biden-to-margot,FAKE
biden-to-margot_44,biden-to-margot,FAKE
biden-to-margot_45,biden-to-margot,FAKE
biden-to-margot_46,biden-to-margot,FAKE
biden-to-margot_47,biden-to-margot,FAKE
biden-to-margot_48,biden-to-margot,FAKE
biden-to-margot_49,biden-to-margot,FAKE
biden-to-margot_50,biden-to-margot,FAKE
biden-to-margot_51,biden-to-margot,FAKE
biden-to-margot_52,biden-to-margot,FAKE
biden-to-margot_53,biden-to-margot,FAKE
biden-to-margot_54,biden-to-margot,FAKE
biden-to-margot_55,biden-to-margot,FAKE
biden-to-margot_56,biden-to-margot,FAKE
biden-to-margot_57,biden-to-margot,FAKE
biden-to-margot_58,biden-to-margot,FAKE
biden-to-margot_59,biden-to-margot,FAKE
biden-to-margot_60,biden-to-margot,FAKE
biden-to-margot_61,biden-to-margot,FAKE
biden-to-margot_62,biden-to-margot,FAKE
biden-to-margot_63,biden-to-margot,FAKE
biden-to-margot_64,biden-to-margot,FAKE
biden-to-margot_65,biden-to-margot,FAKE
biden-to-margot_66,biden-to-margot,FAKE
biden-to-margot_67,biden-to-margot,FAKE
biden-to-margot_68,biden-to-margot,FAKE
biden-to-margot_69,biden-to-margot,FAKE
biden-to-margot_70,biden-to-margot,FAKE
biden-to-margot_71,biden-to-margot,FAKE
biden-to-margot_72,biden-to-margot,FAKE
biden-to-margot_73,biden-to-margot,FAKE
biden-to-margot_74,biden-to-margot,FAKE
biden-to-margot_75,biden-to-margot,FAKE
biden-to-margot_76,biden-to-margot,FAKE
biden-to-margot_77,biden-to-margot,FAKE
biden-to-margot_78,biden-to-margot,FAKE
biden-to-margot_79,biden-to-margot,FAKE
biden-to-margot_80,biden-to-margot,FAKE
biden-to-margot_81,biden-to-margot,FAKE
biden-to-margot_82,biden-to-margot,FAKE
biden-to-margot_83,biden-to-margot,FAKE
biden-to-margot_84,biden-to-margot,FAKE
biden-to-margot_85,biden-to-margot,FAKE
biden-to-margot_86,biden-to-margot,FAKE
biden-to-margot_87,biden-to-margot,FAKE
biden-to-margot_88,biden-to-margot,FAKE
biden-to-margot_89,biden-to-margot,FAKE
biden-to-margot_90,biden-to-margot,FAKE
biden-to-margot_91,biden-to-margot,FAKE
biden-to-margot_92,biden-to-margot,FAKE
biden-to-margot_93,biden-to-margot,FAKE
biden-to-margot_94,biden-to-margot,FAKE
biden-to-margot_95,biden-to-margot,FAKE
biden-to-margot_96,biden-to-margot,FAKE
biden-to-margot_97,biden-to-margot,FAKE
biden-to-margot_98,biden-to-margot,FAKE
biden-to-margot_99,biden-to-margot,FAKE
biden-to-margot_100,biden-to-margot,FAKE
biden-to-margot_101,biden-to-margot,FAKE
biden-to-margot_102,biden-to-margot,FAKE
biden-to-margot_103,biden-to-margot,FAKE
biden-to-margot_104,biden-to-margot,FAKE
biden-to-margot_105,biden-to-margot,FAKE
biden-to-margot_106,biden-to-margot,FAKE
biden-to-margot_107,biden-to-margot,FAKE
biden-to-margot_108,biden-to-margot,FAKE
biden-to-margot_109,biden-to-margot,FAKE
biden-to-margot_110,biden-to-margot,FAKE
biden-to-margot_111,biden-to-margot,FAKE
biden-to-margot_112,biden-to-margot,FAKE
biden-to-margot_113,biden-to-margot,FAKE
biden-to-margot_114,biden-to-margot,FAKE
biden-to-margot_115,biden-to-margot,FAKE
biden-to-margot_116,biden-to-margot,FAKE
biden-to-margot_117,biden-to-margot,FAKE
biden-to-margot_118,biden-to-margot,FAKE
biden-to-margot_119,biden-to-margot,FAKE
biden-to-margot_120,biden-to-margot,FAKE
biden-to-margot_121,biden-to-margot,FAKE
biden-to-margot_122,biden-to-margot,FAKE
biden-to-margot_123,biden-to-margot,FAKE
biden-to-margot_124,biden-to-margot,FAKE
biden-to-margot_125,biden-to-margot,FAKE
biden-to-margot_126,biden-to-margot,FAKE
biden-to-margot_127,biden-to-margot,FAKE
biden-to-margot_128,biden-to-margot,FAKE
biden-to-margot_129,biden-to-margot,FAKE
biden-to-margot_130,biden-to-margot,FAKE
biden-to-margot_131,biden-to-margot,FAKE
biden-to-margot_132,biden-to-margot,FAKE
biden-to-margot_133,biden-to-margot,FAKE
biden-to-margot_134,biden-to-margot,FAKE
biden-to-margot_135,biden-to-margot,FAKE
biden-to-margot_136,biden-to-margot,FAKE
biden-to-margot_137,biden-to-margot,FAKE
biden-to-margot_138,biden-to-margot,FAKE
biden-to-margot_139,biden-to-margot,FAKE
biden-to-margot_140,biden-to-margot,FAKE
biden-to-margot_141,biden-to-margot,FAKE
biden-to-margot_142,biden-to-margot,FAKE
biden-to-margot_143,biden-to-margot,FAKE
biden-to-margot_144,biden-to-margot,FAKE
biden-to-margot_145,biden-to-margot,FAKE
biden-to-margot_146,biden-to-margot,FAKE
biden-to-margot_147,biden-to-margot,FAKE
biden-to-margot_148,biden-to-margot,FAKE
biden-to-margot_149,biden-to-margot,FAKE
biden-to-margot_150,biden-to-margot,FAKE
biden-to-margot_151,biden-to-margot,FAKE
biden-to-margot_152,biden-to-margot,FAKE
biden-to-margot_153,biden-to-margot,FAKE
biden-to-margot_154,biden-to-margot,FAKE
biden-to-margot_155,biden-to-margot,FAKE
biden-to-margot_156,biden-to-margot,FAKE
biden-to-margot_157,biden-to-margot,FAKE
biden-to-margot_158,biden-to-margot,FAKE
biden-to-margot_159,biden-to-margot,FAKE
biden-to-margot_160,biden-to-margot,FAKE
biden-to-margot_161,biden-to-margot,FAKE
biden-to-margot_162,biden-to-margot,FAKE
biden-to-margot_163,biden-to-margot,FAKE
biden-to-margot_164,biden-to-margot,FAKE
biden-to-margot_165,biden-to-margot,FAKE
biden-to-margot_166,biden-to-margot,FAKE
biden-to-margot_167,biden-to-margot,FAKE
biden-to-margot_168,biden-to-margot,FAKE
biden-to-margot_169,biden-to-margot,FAKE
biden-to-margot_170,biden-to-margot,FAKE
biden-to-margot_171,biden-to-margot,FAKE
biden-to-margot_172,biden-to-margot,FAKE
biden-to-margot_173,biden-to-margot,FAKE
biden-to-margot_174,biden-to-margot,FAKE
biden-to-margot_175,biden-to-margot,FAKE
biden-to-margot_176,biden-to-margot,FAKE
biden-to-margot_177,biden-to-margot,FAKE
biden-to-margot_178,biden-to-margot,FAKE
biden-to-margot_179,biden-to-margot,FAKE
biden-to-margot_180,biden-to-margot,FAKE
biden-to-margot_181,biden-to-margot,FAKE
biden-to-margot_182,biden-to-margot,FAKE
biden-to-margot_183,biden-to-margot,FAKE
biden-to-margot_184,biden-to-margot,FAKE
biden-to-margot_185,biden-to-margot,FAKE
biden-to-margot_186,biden-to-margot,FAKE
biden-to-margot_187,biden-to-margot,FAKE
biden-to-margot_188,biden-to-margot,FAKE
biden-to-margot_189,biden-to-margot,FAKE
biden-to-margot_190,biden-to-margot,FAKE
biden-to-margot_191,biden-to-margot,FAKE
biden-to-margot_192,biden-to-margot,FAKE
biden-to-margot_193,biden-to-margot,FAKE
biden-to-margot_194,biden-to-margot,FAKE
biden-to-margot_195,biden-to-margot,FAKE
biden-to-margot_196,biden-to-margot,FAKE
biden-to-margot_197,biden-to-margot,FAKE
biden-to-margot_198,biden-to-margot,FAKE
biden-to-margot_199,biden-to-margot,FAKE
biden-to-musk_0,biden-to-musk,FAKE
biden-to-musk_1,biden-to-musk,FAKE
biden-to-musk_2,biden-to-musk,FAKE
biden-to-musk_3,biden-to-musk,FAKE
biden-to-musk_4,biden-to-musk,FAKE
biden-to-musk_5,biden-to-musk,FAKE
biden-to-musk_6,biden-to-musk,FAKE
biden-to-musk_7,biden-to-musk,FAKE
biden-to-musk_8,biden-to-musk,FAKE
biden-to-musk_9,biden-to-musk,FAKE
biden-to-musk_10,biden-to-musk,FAKE
biden-to-musk_11,biden-to-musk,FAKE
biden-to-musk_12,biden-to-musk,FAKE
biden-to-musk_13,biden-to-musk,FAKE
biden-to-musk_14,biden-to-musk,FAKE
biden-to-musk_15,biden-to-musk,FAKE
biden-to-musk_16,biden-to-musk,FAKE
biden-to-musk_17,biden-to-musk,FAKE
biden-to-musk_18,biden-to-musk,FAKE
biden-to-musk_19,biden-to-musk,FAKE
biden-to-musk_20,biden-to-musk,FAKE
biden-to-musk_21,biden-to-musk,FAKE
biden-to-musk_22,biden-to-musk,FAKE
biden-to-musk_23,biden-to-musk,FAKE
biden-to-musk_24,biden-to-musk,FAKE
biden-to-musk_25,biden-to-musk,FAKE
biden-to-musk_26,biden-to-musk,FAKE
biden-to-musk_27,biden-to-musk,FAKE
biden-to-musk_28,biden-to-musk,FAKE
biden-to-musk_29,biden-to-musk,FAKE
biden-to-musk_30,biden-to-musk,FAKE
biden-to-musk_31,biden-to-musk,FAKE
biden-to-musk_32,biden-to-musk,FAKE
biden-to-musk_33,biden-to-musk,FAKE
biden-to-musk_34,biden-to-musk,FAKE
biden-to-musk_35,biden-to-musk,FAKE
biden-to-musk_36,biden-to-musk,FAKE
biden-to-musk_37,biden-to-musk,FAKE
biden-to-musk_38,biden-to-musk,FAKE
biden-to-musk_39,biden-to-musk,FAKE
biden-to-musk_40,biden-to-musk,FAKE
biden-to-musk_41,biden-to-musk,FAKE
biden-to-musk_42,biden-to-musk,FAKE
biden-to-musk_43,biden-to-musk,FAKE
biden-to-musk_44,biden-to-musk,FAKE
biden-to-musk_45,biden-to-musk,FAKE
biden-to-musk_46,biden-to-musk,FAKE
biden-to-musk_47,biden-to-musk,FAKE
biden-to-musk_48,biden-to-musk,FAKE
biden-to-musk_49,biden-to-musk,FAKE
biden-to-musk_50,biden-to-musk,FAKE
biden-to-musk_51,biden-to-musk,FAKE
biden-to-musk_52,biden-to-musk,FAKE
biden-to-musk_53,biden-to-musk,FAKE
biden-to-musk_54,biden-to-musk,FAKE
biden-to-musk_55,biden-to-musk,FAKE
biden-to-musk_56,biden-to-musk,FAKE
biden-to-musk_57,biden-to-musk,FAKE
biden-to-musk_58,biden-to-musk,FAKE
biden-to-musk_59,biden-to-musk,FAKE
biden-to-musk_60,biden-to-musk,FAKE
biden-to-musk_61,biden-to-musk,FAKE
biden-to-musk_62,biden-to-musk,FAKE
biden-to-musk_63,biden-to-musk,FAKE
biden-to-musk_64,biden-to-musk,FAKE
biden-to-musk_65,biden-to-musk,FAKE
biden-to-musk_66,biden-to-musk,FAKE
biden-to-musk_67,biden-to-musk,FAKE
biden-to-musk_68,biden-to-musk,FAKE
biden-to-musk_69,biden-to-musk,FAKE
biden-to-musk_70,biden-to-musk,FAKE
biden-to-musk_71,biden-to-musk,FAKE
biden-to-musk_72,biden-to-musk,FAKE
biden-to-musk_73,biden-to-musk,FAKE
biden-to-musk_74,biden-to-musk,FAKE
biden-to-musk_75,biden-to-musk,FAKE
biden-to-musk_76,biden-to-musk,FAKE
biden-to-musk_77,biden-to-musk,FAKE
biden-to-musk_78,biden-to-musk,FAKE
biden-to-musk_79,biden-to-musk,FAKE
biden-to-musk_80,biden-to-musk,FAKE
biden-to-musk_81,biden-to-musk,FAKE
biden-to-musk_82,biden-to-musk,FAKE
biden-to-musk_83,biden-to-musk,FAKE
biden-to-musk_84,biden-to-musk,FAKE
biden-to-musk_85,biden-to-musk,FAKE
biden-to-musk_86,biden-to-musk,FAKE
biden-to-musk_87,biden-to-musk,FAKE
biden-to-musk_88,biden-to-musk,FAKE
biden-to-musk_89,biden-to-musk,FAKE
biden-to-musk_90,biden-to-musk,FAKE
biden-to-musk_91,biden-to-musk,FAKE
biden-to-musk_92,biden-to-musk,FAKE
biden-to-musk_93,biden-to-musk,FAKE
biden-to-musk_94,biden-to-musk,FAKE
biden-to-musk_95,biden-to-musk,FAKE
biden-to-musk_96,biden-to-musk,FAKE
biden-to-musk_97,biden-to-musk,FAKE
biden-to-musk_98,biden-to-musk,FAKE
biden-to-musk_99,biden-to-musk,FAKE
biden-to-musk_100,biden-to-musk,FAKE
biden-to-musk_101,biden-to-musk,FAKE
biden-to-musk_102,biden-to-musk,FAKE
biden-to-musk_103,biden-to-musk,FAKE
biden-to-musk_104,biden-to-musk,FAKE
biden-to-musk_105,biden-to-musk,FAKE
biden-to-musk_106,biden-to-musk,FAKE
biden-to-musk_107,biden-to-musk,FAKE
biden-to-musk_108,biden-to-musk,FAKE
biden-to-musk_109,biden-to-musk,FAKE
biden-to-musk_110,biden-to-musk,FAKE
biden-to-musk_111,biden-to-musk,FAKE
biden-to-musk_112,biden-to-musk,FAKE
biden-to-musk_113,biden-to-musk,FAKE
biden-to-musk_114,biden-to-musk,FAKE
biden-to-musk_115,biden-to-musk,FAKE
biden-to-musk_116,biden-to-musk,FAKE
biden-to-musk_117,biden-to-musk,FAKE
biden-to-musk_118,biden-to-musk,FAKE
biden-to-musk_119,biden-to-musk,FAKE
biden-to-musk_120,biden-to-musk,FAKE
biden-to-musk_121,biden-to-musk,FAKE
biden-to-musk_122,biden-to-musk,FAKE
biden-to-musk_123,biden-to-musk,FAKE
biden-to-musk_124,biden-to-musk,FAKE
biden-to-musk_125,biden-to-musk,FAKE
biden-to-musk_126,biden-to-musk,FAKE
biden-to-musk_127,biden-to-musk,FAKE
biden-to-musk_128,biden-to-musk,FAKE
biden-to-musk_129,biden-to-musk,FAKE
biden-to-musk_130,biden-to-musk,FAKE
biden-to-musk_131,biden-to-musk,FAKE
biden-to-musk_132,biden-to-musk,FAKE
biden-to-musk_133,biden-to-musk,FAKE
biden-to-musk_134,biden-to-musk,FAKE
biden-to-musk_135,biden-to-musk,FAKE
biden-to-musk_136,biden-to-musk,FAKE
biden-to-musk_137,biden-to-musk,FAKE
biden-to-musk_138,biden-to-musk,FAKE
biden-to-musk_139,biden-to-musk,FAKE
biden-to-musk_140,biden-to-musk,FAKE
biden-to-musk_141,biden-to-musk,FAKE
biden-to-musk_142,biden-to-musk,FAKE
biden-to-musk_143,biden-to-musk,FAKE
biden-to-musk_144,biden-to-musk,FAKE
biden-to-musk_145,biden-to-musk,FAKE
biden-to-musk_146,biden-to-musk,FAKE
biden-to-musk_147,biden-to-musk,FAKE
biden-to-musk_148,biden-to-musk,FAKE
biden-to-musk_149,biden-to-musk,FAKE
biden-to-musk_150,biden-to-musk,FAKE
biden-to-musk_151,biden-to-musk,FAKE
biden-to-musk_152,biden-to-musk,FAKE
biden-to-musk_153,biden-to-musk,FAKE
biden-to-musk_154,biden-to-musk,FAKE
biden-to-musk_155,biden-to-musk,FAKE
biden-to-musk_156,biden-to-musk,FAKE
biden-to-musk_157,biden-to-musk,FAKE
biden-to-musk_158,biden-to-musk,FAKE
biden-to-musk_159,biden-to-musk,FAKE
biden-to-musk_160,biden-to-musk,FAKE
biden-to-musk_161,biden-to-musk,FAKE
biden-to-musk_162,biden-to-musk,FAKE
biden-to-musk_163,biden-to-musk,FAKE
biden-to-musk_164,biden-to-musk,FAKE
biden-to-musk_165,biden-to-musk,FAKE
biden-to-musk_166,biden-to-musk,FAKE
biden-to-musk_167,biden-to-musk,FAKE
biden-to-musk_168,biden-to-musk,FAKE
biden-to-musk_169,biden-to-musk,FAKE
biden-to-musk_170,biden-to-musk,FAKE
biden-to-musk_171,biden-to-musk,FAKE
biden-to-musk_172,biden-to-musk,FAKE
biden-to-musk_173,biden-to-musk,FAKE
biden-to-musk_174,biden-to-musk,FAKE
biden-to-musk_175,biden-to-musk,FAKE
biden-to-musk_176,biden-to-musk,FAKE
biden-to-musk_177,biden-to-musk,FAKE
biden-to-musk_178,biden-to-musk,FAKE
biden-to-musk_179,biden-to-musk,FAKE
biden-to-musk_180,biden-to-musk,FAKE
biden-to-musk_181,biden-to-musk,FAKE
biden-to-musk_182,biden-to-musk,FAKE
biden-to-musk_183,biden-to-musk,FAKE
biden-to-musk_184,biden-to-musk,FAKE
biden-to-musk_185,biden-to-musk,FAKE
biden-to-musk_186,biden-to-musk,FAKE
biden-to-musk_187,biden-to-musk,FAKE
biden-to-musk_188,biden-to-musk,FAKE
biden-to-musk_189,biden-to-musk,FAKE
biden-to-musk_190,biden-to-musk,FAKE
biden-to-musk_191,biden-to-musk,FAKE
biden-to-musk_192,biden-to-musk,FAKE
biden-to-musk_193,biden-to-musk,FAKE
biden-to-musk_194,biden-to-musk,FAKE
biden-to-musk_195,biden-to-musk,FAKE
biden-to-musk_196,biden-to-musk,FAKE
biden-to-musk_197,biden-to-musk,FAKE
biden-to-musk_198,biden-to-musk,FAKE
biden-to-musk_199,biden-to-musk,FAKE
biden-to-Obama_0,biden-to-Obama,FAKE
biden-to-Obama_1,biden-to-Obama,FAKE
biden-to-Obama_2,biden-to-Obama,FAKE
biden-to-Obama_3,biden-to-Obama,FAKE
biden-to-Obama_4,biden-to-Obama,FAKE
biden-to-Obama_5,biden-to-Obama,FAKE
